site,cropp,time,response,SE,df,lower.CL,upper.CL,.group,year,plant,location,planting,crop,gender,height,weight,planting1,doyp,harvest,doyh,dap
,,,,,,,,,2018,24,macomb,June ,soybean,m,119,10.2,6/1/18,152,8/21/18,233,81
,,,,,,,,,2018,1,macomb,July,soybean,,,,,,,,
,,,,,,,,,2018,2,macomb,July,soybean,,,,,,,,
,,,,,,,,,2018,3,macomb,July,soybean,,,,,,,,
,,,,,,,,,2018,4,macomb,July,soybean,,,,,,,,
,,,,,,,,,2018,5,macomb,July,soybean,,,,,,,,
,,,,,,,,,2018,6,macomb,July,soybean,,,,,,,,
,,,,,,,,,2018,7,macomb,July,soybean,f,25,0.5,7/1/18,182,9/11/18,254,72
,,,,,,,,,2018,8,macomb,July,soybean,,,,,,,,
,,,,,,,,,2018,9,macomb,July,soybean,,,,,,,,
,,,,,,,,,2018,10,macomb,July,soybean,m,28,0.3,7/1/18,182,8/30/18,242,60
,,,,,,,,,2018,11,macomb,July,soybean,m,30,0.4,7/1/18,182,9/11/18,254,72
,,,,,,,,,2018,12,macomb,July,soybean,f,25,0.2,7/1/18,182,9/17/18,260,78
,,,,,,,,,2018,13,macomb,July,soybean,,,,,,,,
,,,,,,,,,2018,14,macomb,July,soybean, m,11,0.1,7/1/18,182,8/30/18,242,60
,,,,,,,,,2018,15,macomb,July,soybean,m,9,0.2,7/1/18,182,8/30/18,242,60
,,,,,,,,,2018,16,macomb,July,soybean,,,,,,,,
,,,,,,,,,2018,17,macomb,July,soybean,,,,,,,,
,,,,,,,,,2018,18,macomb,July,soybean,,,,,,,,
,,,,,,,,,2018,19,macomb,July,soybean,,,,,,,,
,,,,,,,,,2018,20,macomb,July,soybean,,,,,,,,
,,,,,,,,,2018,21,macomb,July,soybean,,,,,,,,
,,,,,,,,,2018,22,macomb,July,soybean,m,24,0.2,7/1/18,182,8/30/18,242,60
,,,,,,,,,2018,23,macomb,July,soybean,m,25,0.5,7/1/18,182,8/30/18,242,60
,,,,,,,,,2018,24,macomb,July,soybean,,,,,,,,
,,,,,,,,,2019,1,arlington,June ,fallow,m,19,1,6/1/19,152,24-Jun,175,23
,,,,,,,,,2019,2,arlington,June ,fallow,m,30,2,6/1/19,152,24-Jun,175,23
,,,,,,,,,2019,3,arlington,June ,fallow,m,13,1,6/1/19,152,24-Jun,175,23
,,,,,,,,,2019,4,arlington,June ,fallow,m,23,2,6/1/19,152,24-Jun,175,23
,,,,,,,,,2019,5,arlington,June ,fallow,m,15,1,6/1/19,152,25-Jun,176,24
,,,,,,,,,2019,6,arlington,June ,fallow,m,20,3,6/1/19,152,25-Jun,176,24
,,,,,,,,,2019,7,arlington,June ,fallow,m,28,2,6/1/19,152,25-Jun,176,24
,,,,,,,,,2019,8,arlington,June ,fallow,m,41,7.9,6/1/19,152,1-Jul,182,30
,,,,,,,,,2019,9,arlington,June ,fallow,m,33,10.1,6/1/19,152,3-Jul,184,32
,,,,,,,,,2019,10,arlington,June ,fallow,m,36,11.6,6/1/19,152,3-Jul,184,32
,,,,,,,,,2019,11,arlington,June ,fallow,m,38,19.2,6/1/19,152,3-Jul,184,32
,,,,,,,,,2019,12,arlington,June ,fallow,m,44,21,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,13,arlington,June ,fallow,f,98,21.4,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,14,arlington,June ,fallow,m,50,98.4,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,15,arlington,June ,fallow,f,76,46,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,16,arlington,June ,fallow,m,73,69.2,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,17,arlington,June ,fallow,f,56,53.6,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,18,arlington,June ,fallow,m,95,110.9,6/1/19,152,15-Jul,196,44
,,,,,,,,,2019,19,arlington,June ,fallow,f,105,555,6/1/19,152,5-Aug,217,65
,,,,,,,,,2019,20,arlington,June ,fallow,f,130,780.4,6/1/19,152,5-Aug,217,65
,,,,,,,,,2019,21,arlington,June ,fallow,f,148,1099.2,6/1/19,152,5-Aug,217,65
,,,,,,,,,2019,22,arlington,June ,fallow,m,25,4,6/1/19,152,24-Jun,175,23
,,,,,,,,,2019,23,arlington,June ,fallow,m,27,1,6/1/19,152,24-Jun,175,23
,,,,,,,,,2019,24,arlington,June ,fallow,m,28,4,6/1/19,152,25-Jun,176,24
,,,,,,,,,2019,1,arlington,June ,soybean,m,18,1,6/1/19,152,25-Jun,176,24
,,,,,,,,,2019,2,arlington,June ,soybean,m,23,2,6/1/19,152,25-Jun,176,24
,,,,,,,,,2019,3,arlington,June ,soybean,f,51,12.8,6/1/19,152,1-Jul,182,30
,,,,,,,,,2019,4,arlington,June ,soybean,m,26,3.9,6/1/19,152,1-Jul,182,30
,,,,,,,,,2019,5,arlington,June ,soybean,m,28,7.4,6/1/19,152,1-Jul,182,30
,,,,,,,,,2019,6,arlington,June ,soybean,f,66,31.8,6/1/19,152,3-Jul,184,32
,,,,,,,,,2019,7,arlington,June ,soybean,f,33,2.3,6/1/19,152,3-Jul,184,32
,,,,,,,,,2019,8,arlington,June ,soybean,f,72,41.4,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,9,arlington,June ,soybean,f,63,25.6,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,10,arlington,June ,soybean,f,94,29.7,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,11,arlington,June ,soybean,f,88,51.8,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,12,arlington,June ,soybean,f,40,8.7,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,13,arlington,June ,soybean,m,87,46.7,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,14,arlington,June ,soybean,f,61,17.5,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,15,arlington,June ,soybean,m,53,10,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,16,arlington,June ,soybean,f,104,89.6,6/1/19,152,15-Jul,196,44
,,,,,,,,,2019,17,arlington,June ,soybean,m,19,21.3,6/1/19,152,15-Jul,196,44
,,,,,,,,,2019,18,arlington,June ,soybean,m,70,39.6,6/1/19,152,15-Jul,196,44
,,,,,,,,,2019,19,arlington,June ,soybean,f,100,39.4,6/1/19,152,22-Jul,203,51
,,,,,,,,,2019,20,arlington,June ,soybean,m,90,112.1,6/1/19,152,22-Jul,203,51
,,,,,,,,,2019,21,arlington,June ,soybean,f,167,164,6/1/19,152,5-Aug,217,65
,,,,,,,,,2019,22,arlington,June ,soybean,,,,,,,,
,,,,,,,,,2019,23,arlington,June ,soybean,,,,,,,,
,,,,,,,,,2019,24,arlington,June ,soybean,,,,,,,,
,,,,,,,,,2019,1,arlington,June ,corn,m,28,3,6/1/19,152,24-Jun,175,23
,,,,,,,,,2019,2,arlington,June ,corn,m,18,3,6/1/19,152,24-Jun,175,23
,,,,,,,,,2019,3,arlington,June ,corn,m,28,3,6/1/19,152,25-Jun,176,24
,,,,,,,,,2019,4,arlington,June ,corn,m,15,1,6/1/19,152,25-Jun,176,24
,,,,,,,,,2019,5,arlington,June ,corn,m,13,3,6/1/19,152,25-Jun,176,24
,,,,,,,,,2019,6,arlington,June ,corn,f,43,9.7,6/1/19,152,3-Jul,184,32
,,,,,,,,,2019,7,arlington,June ,corn,m,112,27.8,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,8,arlington,June ,corn,m,117,44.3,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,9,arlington,June ,corn,m,77,28.4,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,10,arlington,June ,corn,m,73,4.9,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,11,arlington,June ,corn,m,100,24.6,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,12,arlington,June ,corn,f,104,20.8,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,13,arlington,June ,corn,f,107,28,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,14,arlington,June ,corn,m,86,14.6,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,15,arlington,June ,corn,f,95,26.8,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,16,arlington,June ,corn,f,130,57.8,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,17,arlington,June ,corn,f,87,28.8,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,18,arlington,June ,corn,m,97,16.7,6/1/19,152,11-Jul,192,40
,,,,,,,,,2019,19,arlington,June ,corn,m,105,27.2,6/1/19,152,15-Jul,196,44
,,,,,,,,,2019,20,arlington,June ,corn,m,91,9.1,6/1/19,152,15-Jul,196,44
,,,,,,,,,2019,21,arlington,June ,corn,m,144,62.4,6/1/19,152,15-Jul,196,44
,,,,,,,,,2019,22,arlington,June ,corn,m,122,28.7,6/1/19,152,16-Jul,197,45
,,,,,,,,,2019,23,arlington,June ,corn,f,109,8.1,6/1/19,152,19-Jul,200,48
,,,,,,,,,2019,24,arlington,June ,corn,,,,,,,,
,,,,,,,,,2019,1,arlington,July,fallow,m,39,18.2,7/1/19,182,16-Jul,197,15
,,,,,,,,,2019,2,arlington,July,fallow,f,62,30.1,7/1/19,182,22-Jul,203,21
,,,,,,,,,2019,3,arlington,July,fallow,m,23,9.3,7/1/19,182,15-Jul,196,14
,,,,,,,,,2019,4,arlington,July,fallow,m,36,9.5,7/1/19,182,15-Jul,196,14
,,,,,,,,,2019,5,arlington,July,fallow,f,55,41.4,7/1/19,182,22-Jul,203,21
,,,,,,,,,2019,6,arlington,July,fallow,f,70,54.8,7/1/19,182,22-Jul,203,21
,,,,,,,,,2019,7,arlington,July,fallow,m,65,64.5,7/1/19,182,22-Jul,203,21
,,,,,,,,,2019,8,arlington,July,fallow,m,45,9.6,7/1/19,182,16-Jul,197,15
,,,,,,,,,2019,9,arlington,July,fallow,m,62,57.4,7/1/19,182,22-Jul,203,21
,,,,,,,,,2019,10,arlington,July,fallow,m,9,49.4,7/1/19,182,22-Jul,203,21
,,,,,,,,,2019,11,arlington,July,fallow,f,115,213.8,7/1/19,182,2-Aug,214,32
,,,,,,,,,2019,12,arlington,July,fallow,f,95,165.3,7/1/19,182,2-Aug,214,32
,,,,,,,,,2019,13,arlington,July,fallow,m,102,166,7/1/19,182,2-Aug,214,32
,,,,,,,,,2019,14,arlington,July,fallow,m,77,103.8,7/1/19,182,5-Aug,217,35
,,,,,,,,,2019,15,arlington,July,fallow,f,114,480,7/1/19,182,9-Aug,221,39
,,,,,,,,,2019,16,arlington,July,fallow,f,125,652.85,7/1/19,182,8/16/19,228,46
,,,,,,,,,2019,17,arlington,July,fallow,f,138,842.53,7/1/19,182,8/16/19,228,46
,,,,,,,,,2019,18,arlington,July,fallow,f,100,524.77,7/1/19,182,8/16/19,228,46
,,,,,,,,,2019,19,arlington,July,fallow,f,80,240.53,7/1/19,182,8/16/19,228,46
,,,,,,,,,2019,20,arlington,July,fallow,,,,,,,,
,,,,,,,,,2019,21,arlington,July,fallow,,,,,,,,
,,,,,,,,,2019,22,arlington,July,fallow,,,,,,,,
,,,,,,,,,2019,23,arlington,July,fallow,,,,,,,,
,,,,,,,,,2019,24,arlington,July,fallow,,,,,,,,
,,,,,,,,,2019,1,arlington,July,soybean,m,47,4.7,7/1/19,182,15-Jul,196,14
,,,,,,,,,2019,2,arlington,July,soybean,m,51,5.2,7/1/19,182,15-Jul,196,14
,,,,,,,,,2019,3,arlington,July,soybean,f,4,5.6,7/1/19,182,22-Jul,203,21
,,,,,,,,,2019,4,arlington,July,soybean,m,60,4.7,7/1/19,182,22-Jul,203,21
,,,,,,,,,2019,5,arlington,July,soybean,m,68,5.4,7/1/19,182,22-Jul,203,21
,,,,,,,,,2019,6,arlington,July,soybean,f,95,14.4,7/1/19,182,2-Aug,214,32
,,,,,,,,,2019,7,arlington,July,soybean,f,95,16.1,7/1/19,182,2-Aug,214,32
,,,,,,,,,2019,8,arlington,July,soybean,f,73,7.9,7/1/19,182,5-Aug,217,35
,,,,,,,,,2019,9,arlington,July,soybean,m,91,8.4,7/1/19,182,5-Aug,217,35
,,,,,,,,,2019,10,arlington,July,soybean,f,107,39.7,7/1/19,182,5-Aug,217,35
,,,,,,,,,2019,11,arlington,July,soybean,f,100,39.7,7/1/19,182,5-Aug,217,35
,,,,,,,,,2019,12,arlington,July,soybean,f,100,7.9,7/1/19,182,5-Aug,217,35
,,,,,,,,,2019,13,arlington,July,soybean,f,90,6.4,7/1/19,182,5-Aug,217,35
,,,,,,,,,2019,14,arlington,July,soybean,f,80,4,7/1/19,182,5-Aug,217,35
,,,,,,,,,2019,15,arlington,July,soybean,f,102,18.5,7/1/19,182,5-Aug,217,35
,,,,,,,,,2019,16,arlington,July,soybean,f,84,8.7,7/1/19,182,5-Aug,217,35
,,,,,,,,,2019,17,arlington,July,soybean,f,100,14.1,7/1/19,182,9-Aug,221,39
,,,,,,,,,2019,18,arlington,July,soybean,m,49,4.3,7/1/19,182,15-Aug,227,45
,,,,,,,,,2019,19,arlington,July,soybean,f,125,15.29,7/1/19,182,8/21/19,233,51
,,,,,,,,,2019,20,arlington,July,soybean,f,150,37.61,7/1/19,182,16-Aug,228,46
,,,,,,,,,2019,21,arlington,July,soybean,,,,,,,,
,,,,,,,,,2019,22,arlington,July,soybean,,,,,,,,
,,,,,,,,,2019,23,arlington,July,soybean,,,,,,,,
,,,,,,,,,2019,24,arlington,July,soybean,,,,,,,,
,,,,,,,,,2019,1,arlington,July,corn,m,69,1.8,7/1/19,182,22-Jul,203,21
,,,,,,,,,2019,2,arlington,July,corn,m,60,1.5,7/1/19,182,22-Jul,203,21
,,,,,,,,,2019,3,arlington,July,corn,m,58,1.4,7/1/19,182,22-Jul,203,21
,,,,,,,,,2019,4,arlington,July,corn,m,93,3.2,7/1/19,182,22-Jul,203,21
,,,,,,,,,2019,5,arlington,July,corn,f,35,1.5,7/1/19,182,5-Aug,217,35
,,,,,,,,,2019,6,arlington,July,corn,f,90,3.2,7/1/19,182,5-Aug,217,35
,,,,,,,,,2019,7,arlington,July,corn,f,88,30.8,7/1/19,182,5-Aug,217,35
,,,,,,,,,2019,8,arlington,July,corn,m,89,26.6,7/1/19,182,5-Aug,217,35
,,,,,,,,,2019,9,arlington,July,corn,m,83,27.3,7/1/19,182,5-Aug,217,35
,,,,,,,,,2019,10,arlington,July,corn,m,130,5.9,7/1/19,182,5-Aug,217,35
,,,,,,,,,2019,11,arlington,July,corn,f,62,1.7,7/1/19,182,5-Aug,217,35
,,,,,,,,,2019,12,arlington,July,corn,m,120,5.87,7/1/19,182,8/16/19,228,46
,,,,,,,,,2019,13,arlington,July,corn,m,76,2.7,7/1/19,182,8/21/19,233,51
,,,,,,,,,2019,14,arlington,July,corn,f,93,5.88,7/1/19,182,8/16/19,228,46
,,,,,,,,,2019,15,arlington,July,corn,m,156,4.63,7/1/19,182,8/21/19,233,51
,,,,,,,,,2019,16,arlington,July,corn,m,162,9.31,7/1/19,182,8/21/19,233,51
,,,,,,,,,2019,17,arlington,July,corn,m,105,6.31,7/1/19,182,21-Aug,233,51
,,,,,,,,,2019,18,arlington,July,corn,,,,,,,,
,,,,,,,,,2019,19,arlington,July,corn,,,,,,,,
,,,,,,,,,2019,20,arlington,July,corn,,,,,,,,
,,,,,,,,,2019,21,arlington,July,corn,,,,,,,,
,,,,,,,,,2019,22,arlington,July,corn,,,,,,,,
,,,,,,,,,2019,23,arlington,July,corn,,,,,,,,
,,,,,,,,,2019,24,arlington,July,corn,,,,,,,,
,,,,,,,,,2019,1,grant,June ,fallow,m,,8.7,5-Jun,156,6-Jul,187,31
,,,,,,,,,2019,2,grant,June ,fallow,f,,172.3,5-Jun,156,6-Jul,187,31
,,,,,,,,,2019,3,grant,June ,fallow,m,,9.3,5-Jun,156,6-Jul,187,31
,,,,,,,,,2019,4,grant,June ,fallow,m,,44.8,5-Jun,156,6-Jul,187,31
,,,,,,,,,2019,5,grant,June ,fallow,m,,55.1,5-Jun,156,6-Jul,187,31
,,,,,,,,,2019,6,grant,June ,fallow,f,,85.7,5-Jun,156,6-Jul,187,31
,,,,,,,,,2019,7,grant,June ,fallow,m,,178.3,5-Jun,156,6-Jul,187,31
,,,,,,,,,2019,8,grant,June ,fallow,,,,,,,,
,,,,,,,,,2019,9,grant,June ,fallow,,,,,,,,
,,,,,,,,,2019,10,grant,June ,fallow,,,,,,,,
,,,,,,,,,2019,11,grant,June ,fallow,,,,,,,,
,,,,,,,,,2019,12,grant,June ,fallow,,,,,,,,
,,,,,,,,,2019,13,grant,June ,fallow,,,,,,,,
,,,,,,,,,2019,14,grant,June ,fallow,,,,,,,,
,,,,,,,,,2019,15,grant,June ,fallow,,,,,,,,
,,,,,,,,,2019,16,grant,June ,fallow,,,,,,,,
,,,,,,,,,2019,17,grant,June ,fallow,,,,,,,,
,,,,,,,,,2019,18,grant,June ,fallow,,,,,,,,
,,,,,,,,,2019,19,grant,June ,fallow,,,,,,,,
,,,,,,,,,2019,20,grant,June ,fallow,,,,,,,,
,,,,,,,,,2019,21,grant,June ,fallow,,,,,,,,
,,,,,,,,,2019,22,grant,June ,fallow,,,,,,,,
,,,,,,,,,2019,23,grant,June ,fallow,,,,,,,,
,,,,,,,,,2019,24,grant,June ,fallow,,,,,,,,
,,,,,,,,,2019,1,grant,June ,soybean,m,,16.4,5-Jun,156,6-Jul,187,31
,,,,,,,,,2019,2,grant,June ,soybean,m,,36.5,5-Jun,156,6-Jul,187,31
,,,,,,,,,2019,3,grant,June ,soybean,m,,55.2,5-Jun,156,6-Jul,187,31
,,,,,,,,,2019,4,grant,June ,soybean,m,,51.3,5-Jun,156,6-Jul,187,31
,,,,,,,,,2019,5,grant,June ,soybean,m,,74.5,5-Jun,156,6-Jul,187,31
,,,,,,,,,2019,6,grant,June ,soybean,m,,11.6,5-Jun,156,6-Jul,187,31
,,,,,,,,,2019,7,grant,June ,soybean,,,12.3,5-Jun,156,6-Jul,187,31
,,,,,,,,,2019,8,grant,June ,soybean,m,,127.9,5-Jun,156,6-Jul,187,31
,,,,,,,,,2019,9,grant,June ,soybean,f,,18.7,5-Jun,156,6-Jul,187,31
,,,,,,,,,2019,10,grant,June ,soybean,m,,40.2,5-Jun,156,6-Jul,187,31
,,,,,,,,,2019,11,grant,June ,soybean,,,,,,,,
,,,,,,,,,2019,12,grant,June ,soybean,,,,,,,,
,,,,,,,,,2019,13,grant,June ,soybean,,,,,,,,
,,,,,,,,,2019,14,grant,June ,soybean,,,,,,,,
,,,,,,,,,2019,15,grant,June ,soybean,,,,,,,,
,,,,,,,,,2019,16,grant,June ,soybean,,,,,,,,
,,,,,,,,,2019,17,grant,June ,soybean,,,,,,,,
,,,,,,,,,2019,18,grant,June ,soybean,,,,,,,,
,,,,,,,,,2019,19,grant,June ,soybean,,,,,,,,
,,,,,,,,,2019,20,grant,June ,soybean,,,,,,,,
,,,,,,,,,2019,21,grant,June ,soybean,,,,,,,,
,,,,,,,,,2019,22,grant,June ,soybean,,,,,,,,
,,,,,,,,,2019,23,grant,June ,soybean,,,,,,,,
,,,,,,,,,2019,24,grant,June ,soybean,,,,,,,,
,,,,,,,,,2019,1,grant,June ,corn,m,,36.4,5-Jun,156,6-Jul,187,31
,,,,,,,,,2019,2,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,3,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,4,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,5,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,6,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,7,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,8,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,9,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,10,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,11,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,12,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,13,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,14,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,15,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,16,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,17,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,18,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,19,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,20,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,21,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,22,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,23,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,24,grant,June ,corn,,,,,,,,
,,,,,,,,,2019,1,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,2,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,3,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,4,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,5,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,6,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,7,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,8,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,9,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,10,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,11,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,12,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,13,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,14,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,15,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,16,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,17,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,18,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,19,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,20,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,21,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,22,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,23,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,24,grant,July,fallow,,,,,,,,
,,,,,,,,,2019,1,grant,July,soybean,m,,2.3,7/2/19,183,7/31/19,212,29
,,,,,,,,,2019,2,grant,July,soybean,f,,7,7/2/19,183,7/31/19,212,29
,,,,,,,,,2019,3,grant,July,soybean,f,,2.5,7/2/19,183,7/31/19,212,29
,,,,,,,,,2019,4,grant,July,soybean,m,,5.7,7/2/19,183,7/31/19,212,29
,,,,,,,,,2019,5,grant,July,soybean,m,,2.5,7/2/19,183,7/31/19,212,29
